                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     66,               0.024862,               0.025727,               0.068378,              0.0016434,                0.74254,                0.70788,                0.69737,                0.47668,                0.75621,                0.70496,                0.69987,                0.42838,               0.028112,                0.03327,               0.067559,              0.0037767,              0.0067825,              0.0067825,              0.0067825
                     67,               0.024708,               0.026199,               0.064132,              0.0015913,                0.78262,                0.70923,                0.71907,                0.49456,                0.78028,                0.70687,                0.72082,                0.44128,               0.027726,               0.033035,               0.065715,              0.0037991,               0.006733,               0.006733,               0.006733
                     68,               0.024884,               0.026263,               0.066282,              0.0017024,                0.78351,                0.71826,                0.72412,                0.49825,                0.78861,                0.72428,                0.72932,                0.43777,               0.028283,               0.033489,               0.068304,               0.004003,              0.0066835,              0.0066835,              0.0066835
                     69,               0.024886,               0.025672,               0.067947,              0.0015158,                0.77152,                 0.7346,                 0.7321,                0.50886,                0.77183,                0.73449,                0.73799,                0.45025,               0.028313,               0.033402,               0.065324,               0.003648,               0.006634,               0.006634,               0.006634
                     70,               0.023678,               0.025444,               0.065986,              0.0016705,                0.73721,                0.75049,                0.72455,                0.48749,                0.73951,                0.75316,                0.72399,                0.44652,               0.027632,                0.03382,               0.065117,              0.0038862,              0.0065845,              0.0065845,              0.0065845
                     71,               0.024857,               0.026149,               0.066563,              0.0015423,                 0.7448,                0.72319,                0.73203,                0.51607,                0.76457,                0.73575,                 0.7435,                0.45908,               0.027705,               0.033038,               0.066047,              0.0039464,               0.006535,               0.006535,               0.006535
                     72,               0.024407,               0.025689,               0.065318,              0.0016257,                0.74643,                0.75157,                 0.7477,                0.51529,                0.76303,                0.75786,                0.75533,                0.45687,               0.027691,               0.033121,                0.06618,              0.0039638,              0.0064855,              0.0064855,              0.0064855
                     73,               0.023834,               0.025516,               0.063771,              0.0016995,                0.74824,                 0.7214,                0.72676,                0.50052,                0.75276,                0.72423,                0.72916,                0.43427,               0.028575,               0.033507,                0.06628,               0.003838,               0.006436,               0.006436,               0.006436
                     74,               0.023652,               0.025992,               0.065341,               0.001682,                0.75421,                0.74862,                0.72739,                0.51238,                0.75373,                 0.7569,                0.73631,                 0.4558,               0.028293,               0.033393,               0.067817,              0.0037944,              0.0063865,              0.0063865,              0.0063865
                     75,               0.023651,               0.025669,               0.064711,              0.0014855,                 0.7604,                0.73285,                0.72157,                0.50348,                0.76339,                0.73436,                0.72856,                0.44695,               0.027477,               0.033511,               0.067551,              0.0036779,               0.006337,               0.006337,               0.006337
                     76,                0.02348,                0.02544,               0.063987,               0.001479,                0.72176,                0.71381,                0.70365,                0.49645,                0.72056,                0.71511,                0.69208,                 0.4217,               0.028578,               0.034132,               0.069505,              0.0041306,              0.0062875,              0.0062875,              0.0062875
                     77,               0.023529,               0.025269,               0.064677,              0.0013895,                0.74332,                0.70886,                0.72435,                0.51719,                0.76148,                0.71496,                0.73297,                0.45124,               0.027998,               0.033564,               0.068377,              0.0038314,               0.006238,               0.006238,               0.006238
                     78,                0.02294,               0.025497,               0.066317,              0.0014724,                0.77224,                0.72824,                0.74461,                0.52551,                0.77963,                0.73467,                0.75817,                0.48481,               0.027172,               0.033785,               0.068858,              0.0039027,              0.0061885,              0.0061885,              0.0061885
                     79,               0.022995,               0.025244,               0.062878,              0.0014477,                0.79298,                0.71536,                0.73288,                0.52318,                 0.7939,                0.71744,                0.74447,                0.47283,               0.027037,               0.033748,                0.06725,              0.0039499,               0.006139,               0.006139,               0.006139
