                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     54,               0.024128,               0.025996,               0.065703,              0.0017804,                0.72716,                0.72438,                0.72685,                0.49854,                0.73647,                0.73473,                0.74127,                0.47073,               0.029718,                0.03298,               0.067202,              0.0037909,              0.0073765,              0.0073765,              0.0073765
                     55,               0.025657,                0.02545,               0.065577,              0.0019028,                0.73245,                0.71896,                0.74128,                0.51845,                0.75394,                0.72418,                0.75367,                0.46703,               0.029083,               0.033227,               0.065294,              0.0039604,               0.007327,               0.007327,               0.007327
                     56,               0.024782,               0.025467,               0.066956,              0.0018203,                 0.7781,                0.69599,                0.73756,                0.51609,                0.78593,                0.68662,                0.72916,                0.46618,               0.028381,               0.032726,               0.066872,              0.0039007,              0.0072775,              0.0072775,              0.0072775
                     57,               0.025515,               0.025827,               0.066735,              0.0018384,                0.72823,                0.70144,                0.72651,                0.50673,                0.74665,                0.71705,                0.74391,                0.48113,               0.028318,               0.033194,                  0.068,              0.0040041,               0.007228,               0.007228,               0.007228
                     58,               0.025742,               0.025532,               0.066398,              0.0017707,                0.73706,                0.70486,                0.69694,                0.47707,                0.73921,                0.70642,                0.69995,                0.44965,               0.029133,               0.033441,                0.06995,              0.0045122,              0.0071785,              0.0071785,              0.0071785
                     59,               0.024706,               0.025757,               0.064944,              0.0017995,                0.76163,                0.69253,                0.72919,                  0.504,                0.76832,                0.69981,                0.74149,                0.46684,               0.029422,               0.033717,               0.067968,              0.0040491,               0.007129,               0.007129,               0.007129
                     60,               0.025162,               0.025258,               0.064209,              0.0018038,                0.71307,                0.70622,                0.70835,                0.50599,                0.72942,                0.72177,                0.72269,                0.46578,               0.027687,               0.033216,               0.069079,              0.0042982,              0.0070795,              0.0070795,              0.0070795
                     61,               0.025086,               0.025269,               0.064802,               0.001694,                0.77788,                0.69647,                0.73299,                0.49576,                0.77845,                0.69935,                0.74079,                0.45574,               0.028489,               0.033223,               0.066137,              0.0042262,                0.00703,                0.00703,                0.00703
                     62,               0.024441,               0.025236,               0.065197,              0.0016277,                0.74061,                 0.7132,                0.73004,                0.52103,                0.74462,                0.71712,                0.73269,                0.46222,               0.028317,               0.034349,               0.065842,              0.0039318,              0.0069805,              0.0069805,              0.0069805
                     63,               0.024767,               0.025005,                0.06411,              0.0015899,                 0.7288,                0.76222,                 0.7447,                0.52043,                0.76245,                 0.7262,                0.74411,                0.46855,               0.030502,               0.034951,               0.068713,              0.0042083,               0.006931,               0.006931,               0.006931
                     64,                0.02456,               0.025256,               0.064611,              0.0015781,                0.78873,                0.69471,                0.73197,                0.51268,                0.79141,                0.69199,                0.73702,                0.45961,               0.029399,               0.033957,               0.069043,              0.0043168,              0.0068815,              0.0068815,              0.0068815
                     65,               0.023736,                0.02457,               0.063684,              0.0016609,                0.78966,                0.69726,                0.74549,                0.51881,                0.76992,                 0.7444,                0.75853,                0.47039,                0.02852,               0.033164,               0.069818,              0.0040521,               0.006832,               0.006832,               0.006832
                     66,                0.02397,               0.024891,               0.064615,              0.0016113,                0.76991,                0.69427,                 0.7228,                0.50448,                0.78171,                 0.6866,                0.72696,                0.45401,               0.028569,               0.034922,               0.069431,              0.0042537,              0.0067825,              0.0067825,              0.0067825
                     67,               0.023497,               0.025045,               0.060688,              0.0015338,                0.74431,                0.71732,                0.71687,                0.50517,                0.74006,                0.71125,                0.72418,                0.44399,               0.029197,               0.033872,               0.072353,              0.0040337,               0.006733,               0.006733,               0.006733
                     68,               0.023941,               0.025199,               0.062852,              0.0016725,                0.77094,                0.72753,                0.74055,                0.52351,                0.76845,                0.74592,                0.74872,                0.45688,               0.028856,               0.033338,               0.071617,              0.0040292,              0.0066835,              0.0066835,              0.0066835
                     69,                 0.0237,               0.024649,               0.063866,              0.0015155,                0.75848,                0.70691,                0.74538,                0.52505,                 0.7735,                0.71901,                0.75189,                0.46589,               0.028812,               0.034094,               0.070962,              0.0042396,               0.006634,               0.006634,               0.006634
                     70,               0.023073,               0.024495,               0.062697,              0.0016403,                0.75289,                0.71706,                0.73682,                0.51563,                0.77117,                0.73726,                0.75216,                0.46243,               0.029343,               0.033651,               0.067616,              0.0041102,              0.0065845,              0.0065845,              0.0065845
                     71,               0.023737,               0.024844,               0.062862,              0.0015118,                0.76703,                0.68563,                0.72447,                0.50905,                0.76209,                0.72921,                0.74762,                0.46194,               0.029311,               0.032824,               0.068626,              0.0039694,               0.006535,               0.006535,               0.006535
                     72,                0.02307,               0.024519,               0.061429,              0.0015606,                0.83118,                0.71567,                0.75329,                0.53797,                0.83246,                0.71751,                0.75775,                0.46961,               0.028902,               0.034112,               0.069569,              0.0036529,              0.0064855,              0.0064855,              0.0064855
                     73,               0.022817,                0.02449,               0.060541,              0.0014888,                0.80894,                0.71225,                0.74322,                0.52505,                0.81557,                0.72116,                0.74861,                0.45516,               0.028134,               0.034165,               0.068744,              0.0039597,               0.006436,               0.006436,               0.006436
                     74,               0.022898,               0.024832,               0.061518,              0.0015333,                 0.7783,                0.71115,                0.73092,                0.51215,                0.79249,                0.72352,                 0.7491,                0.45944,                0.02798,               0.033145,               0.067369,               0.004045,              0.0063865,              0.0063865,              0.0063865
                     75,               0.022678,               0.024811,               0.061051,              0.0014059,                0.74973,                0.72281,                0.72538,                  0.514,                0.76648,                0.73863,                0.74231,                0.45769,               0.028345,               0.033094,               0.070848,              0.0044316,               0.006337,               0.006337,               0.006337
                     76,               0.022573,               0.024255,               0.059964,              0.0013679,                0.75516,                0.71987,                0.72952,                0.51381,                0.76637,                0.72192,                0.73714,                 0.4586,               0.028353,                0.03357,               0.071035,              0.0039589,              0.0062875,              0.0062875,              0.0062875
                     77,               0.022492,               0.024371,               0.060855,              0.0013742,                0.78838,                0.71552,                0.74229,                0.53389,                0.78735,                0.72797,                0.74869,                0.47228,               0.027839,                0.03325,               0.070004,              0.0039372,               0.006238,               0.006238,               0.006238
                     78,               0.021851,               0.024379,               0.062425,              0.0014116,                0.71442,                0.73208,                0.70761,                0.50763,                0.72475,                0.74461,                0.72279,                0.46309,               0.027602,               0.034113,               0.068093,              0.0046736,              0.0061885,              0.0061885,              0.0061885
                     79,               0.022213,               0.024215,               0.059481,              0.0014211,                0.79994,                0.70844,                0.74159,                 0.5361,                0.80436,                0.70916,                0.74262,                0.46823,               0.027495,               0.033925,               0.069605,              0.0041156,               0.006139,               0.006139,               0.006139
                     80,               0.022208,               0.023997,               0.060188,              0.0014175,                0.71261,                0.73605,                0.70346,                0.49666,                0.75608,                 0.7102,                0.71887,                0.45218,               0.028462,               0.033973,               0.071229,              0.0044229,              0.0060895,              0.0060895,              0.0060895
                     81,               0.021931,               0.023404,               0.061598,              0.0012918,                0.75365,                0.72197,                0.72891,                 0.5286,                0.77171,                0.73731,                0.74267,                0.47129,               0.027458,               0.033152,               0.070279,              0.0040471,                0.00604,                0.00604,                0.00604
                     82,               0.022327,               0.024283,               0.059141,              0.0014672,                0.77495,                0.70525,                0.72799,                0.51914,                0.77056,                0.70229,                0.71976,                0.46429,               0.027068,               0.032664,               0.069141,              0.0039854,              0.0059905,              0.0059905,              0.0059905
                     83,                0.02197,               0.023948,               0.059901,              0.0012396,                0.72642,                0.74219,                0.72251,                0.51751,                0.74528,                0.72233,                0.73321,                0.45618,               0.026856,                0.03293,               0.066801,              0.0038947,               0.005941,               0.005941,               0.005941
                     84,               0.022216,               0.024144,               0.059042,              0.0013837,                0.73941,                0.72072,                0.72384,                0.51138,                0.78845,                0.72288,                0.73474,                0.46062,               0.027796,               0.034247,               0.071021,              0.0043305,              0.0058915,              0.0058915,              0.0058915
                     85,               0.021409,               0.024171,               0.059666,              0.0013901,                0.80765,                0.70882,                0.74675,                 0.5252,                0.81711,                0.72771,                0.76459,                0.48322,               0.028712,               0.034597,               0.072352,              0.0039918,               0.005842,               0.005842,               0.005842
                     86,               0.021495,               0.024005,               0.060943,              0.0013775,                 0.7302,                0.71968,                0.72408,                 0.5082,                0.74268,                   0.73,                0.74024,                0.45782,               0.028977,               0.034486,               0.070727,              0.0039074,              0.0057925,              0.0057925,              0.0057925
                     87,               0.020841,                0.02338,               0.057887,              0.0012705,                0.74868,                 0.7124,                0.73765,                0.53275,                 0.7685,                0.72608,                0.74842,                0.47329,               0.028138,                 0.0333,               0.070135,              0.0038069,               0.005743,               0.005743,               0.005743
                     88,               0.021203,               0.023841,               0.057656,              0.0013228,                0.76579,                0.73183,                0.73929,                0.52661,                0.78464,                0.74611,                0.75447,                0.46922,               0.027971,               0.033761,                0.06982,              0.0041127,              0.0056935,              0.0056935,              0.0056935
                     89,               0.020975,                0.02384,               0.058003,              0.0013267,                 0.7799,                0.71766,                0.74035,                0.52466,                0.79747,                0.71323,                 0.7451,                0.46609,               0.028681,               0.032962,               0.071853,              0.0040368,               0.005644,               0.005644,               0.005644
                     90,               0.021129,               0.023629,                0.05813,              0.0011766,                0.76526,                0.72177,                 0.7253,                0.51727,                0.77159,                0.72486,                0.72957,                0.45946,               0.027571,               0.033191,               0.071006,              0.0040493,              0.0055945,              0.0055945,              0.0055945
                     91,               0.020765,               0.023872,               0.058296,              0.0014259,                 0.7819,                 0.6998,                0.72975,                0.52144,                0.78617,                0.70464,                0.73274,                0.46014,               0.028884,               0.033615,               0.070472,              0.0039112,               0.005545,               0.005545,               0.005545
                     92,               0.020782,               0.023732,               0.058418,              0.0012884,                0.76284,                 0.7287,                0.73334,                0.51816,                0.77519,                0.73511,                0.74035,                0.46165,                0.02825,               0.033952,               0.070731,              0.0042587,              0.0054955,              0.0054955,              0.0054955
                     93,                0.02079,               0.023885,               0.058406,              0.0012258,                0.77919,                 0.7127,                0.72734,                0.52198,                0.77045,                0.71783,                0.71566,                0.44852,               0.027635,               0.033688,               0.073042,                0.00403,               0.005446,               0.005446,               0.005446
                     94,               0.019927,               0.023403,               0.057046,               0.001146,                0.78301,                0.72132,                0.73264,                0.51797,                0.79195,                0.73099,                0.74242,                0.46937,               0.027189,               0.033427,               0.069218,              0.0037121,              0.0053965,              0.0053965,              0.0053965
                     95,               0.020269,               0.023576,               0.056597,              0.0012062,                0.77367,                0.68236,                0.73589,                0.53035,                0.80922,                0.66799,                0.73968,                0.46742,               0.027424,               0.033776,               0.071787,              0.0037966,               0.005347,               0.005347,               0.005347
                     96,                 0.0197,               0.023353,               0.058158,              0.0012401,                0.78159,                0.70617,                0.72876,                 0.5214,                0.75669,                0.72533,                0.73459,                0.46298,               0.027785,               0.034039,               0.070655,               0.004087,              0.0052975,              0.0052975,              0.0052975
                     97,               0.019764,               0.023386,               0.057606,              0.0011526,                0.73118,                0.73113,                0.72426,                0.52906,                0.73099,                 0.7304,                0.72799,                0.46005,               0.027647,               0.034363,                0.07123,              0.0043414,               0.005248,               0.005248,               0.005248
                     98,               0.020262,               0.023442,               0.054454,              0.0010946,                0.72897,                0.70427,                0.69621,                0.50006,                0.74878,                0.72353,                0.72154,                0.45002,               0.027699,               0.033442,               0.071763,              0.0045508,              0.0051985,              0.0051985,              0.0051985
                     99,               0.019588,               0.023327,               0.056297,              0.0012302,                0.77024,                0.67781,                0.73417,                 0.5181,                0.76805,                0.67639,                0.73063,                0.47108,               0.028008,               0.034054,               0.073385,              0.0043773,               0.005149,               0.005149,               0.005149
                    100,               0.020476,               0.023527,               0.056183,              0.0012705,                 0.7055,                0.74015,                0.73367,                0.52324,                 0.8137,                0.67637,                0.74902,                0.46824,               0.027704,               0.033367,               0.071224,              0.0042754,              0.0050995,              0.0050995,              0.0050995
                    101,               0.019559,               0.023264,               0.056175,              0.0011913,                0.77298,                0.72812,                 0.7492,                0.53232,                0.77811,                0.73281,                0.75043,                0.47108,               0.027686,               0.032683,               0.070078,              0.0041299,                0.00505,                0.00505,                0.00505
                    102,                0.01955,               0.023044,               0.056861,              0.0011459,                 0.7262,                  0.731,                0.72978,                0.52433,                0.73576,                0.74116,                0.73747,                0.46128,               0.027834,               0.033498,               0.072216,              0.0042566,              0.0050005,              0.0050005,              0.0050005
                    103,               0.019743,               0.023557,               0.056702,              0.0012075,                0.74193,                0.71965,                0.71083,                 0.5073,                0.75175,                0.72148,                0.71507,                0.44833,               0.027732,                0.03332,               0.072665,              0.0044105,               0.004951,               0.004951,               0.004951
                    104,               0.019617,               0.022968,               0.054571,              0.0010949,                0.66951,                0.75388,                0.70619,                0.51009,                0.68228,                0.75732,                 0.7078,                0.45033,               0.026875,               0.033996,               0.073784,              0.0046166,              0.0049015,              0.0049015,              0.0049015
                    105,               0.019252,               0.022993,               0.054792,              0.0011496,                0.73985,                0.71802,                0.73068,                 0.5174,                0.79677,                0.68601,                0.73498,                 0.4645,               0.027863,               0.034544,               0.074794,              0.0042311,               0.004852,               0.004852,               0.004852
