                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     75,               0.022254,               0.024163,               0.059431,              0.0013711,                0.75292,                0.70754,                0.71231,                0.50325,                 0.7864,                 0.6821,                0.71576,                0.44919,                0.02757,               0.032953,               0.068134,              0.0043238,               0.006337,               0.006337,               0.006337
                     76,               0.022417,               0.023507,               0.058703,              0.0013379,                0.75012,                0.71454,                0.70908,                0.51581,                0.76236,                 0.7262,                 0.7207,                0.45755,               0.026652,               0.032991,               0.065178,              0.0038098,              0.0062875,              0.0062875,              0.0062875
                     77,               0.022199,               0.023525,               0.059066,              0.0013002,                0.78192,                0.66788,                0.72361,                0.52684,                0.80129,                0.66839,                0.72026,                 0.4676,               0.027218,               0.034397,               0.067575,                  0.004,               0.006238,               0.006238,               0.006238
                     78,               0.021635,               0.023801,               0.060714,              0.0012952,                0.78767,                0.71035,                0.72001,                0.50834,                0.78885,                0.71201,                0.71668,                0.46967,               0.027275,               0.034846,               0.067838,              0.0042423,              0.0061885,              0.0061885,              0.0061885
                     79,                0.02166,               0.023451,               0.057213,               0.001273,                0.70775,                0.69474,                0.71323,                0.50973,                0.70642,                0.69897,                0.71042,                0.45937,               0.026372,               0.033539,               0.067997,              0.0039379,               0.006139,               0.006139,               0.006139
                     80,                0.02153,               0.023148,               0.057932,              0.0013592,                0.71816,                0.70785,                0.72084,                0.50719,                0.74342,                0.70375,                0.72789,                0.45274,               0.027283,               0.034619,               0.070084,              0.0038905,              0.0060895,              0.0060895,              0.0060895
                     81,               0.020955,               0.022644,               0.059798,              0.0012173,                0.79636,                0.68986,                0.72589,                0.51873,                0.80461,                0.69139,                0.72794,                0.46847,               0.026296,               0.033505,               0.069926,              0.0038082,                0.00604,                0.00604,                0.00604
                     82,               0.021884,                 0.0237,               0.057383,              0.0013673,                0.75681,                0.66483,                0.70639,                 0.5179,                0.77963,                0.68259,                0.72161,                0.46204,               0.026108,               0.032804,               0.068378,              0.0038842,              0.0059905,              0.0059905,              0.0059905
                     83,               0.021361,               0.023141,               0.057517,              0.0011377,                0.71766,                0.71269,                0.71757,                0.51093,                 0.7554,                0.68974,                0.72044,                0.46419,               0.026194,               0.032335,               0.068509,              0.0038165,               0.005941,               0.005941,               0.005941
                     84,               0.021666,               0.023398,                0.05664,              0.0012554,                0.69525,                0.72871,                0.70598,                0.50508,                0.69913,                0.71834,                0.70553,                 0.4628,               0.028167,               0.034071,               0.073119,              0.0048522,              0.0058915,              0.0058915,              0.0058915
                     85,               0.020628,               0.023476,               0.057852,              0.0012947,                0.74874,                0.70541,                0.71776,                0.51082,                0.78367,                0.66885,                0.70979,                0.47058,               0.028512,               0.033753,                0.07205,              0.0038434,               0.005842,               0.005842,               0.005842
