                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.68065,                 1.2135,                0.49957,                0.92936,                0.72832,                0.69172,                0.72501,                0.52764,                0.72907,                0.69391,                0.72903,                0.47925,                0.84631,                 1.5376,                0.75436,                 1.0513,             0.00087726,             0.00087726,             0.00087726
                     80,                0.68466,                 1.2321,                0.50106,                 0.9271,                0.76021,                0.72178,                 0.7339,                0.53295,                0.76639,                  0.727,                0.74568,                 0.4766,                0.81323,                 1.5274,                 0.7023,                 1.0236,             0.00087019,             0.00087019,             0.00087019
                     81,                0.67619,                 1.2351,                0.49697,                0.91711,                0.76244,                0.73436,                0.73047,                0.53432,                0.79334,                0.73489,                0.75279,                0.47002,                0.85426,                  1.538,                 0.7197,                 1.0703,             0.00086312,             0.00086312,             0.00086312
                     82,                0.66878,                 1.2129,                0.48602,                0.91909,                0.70584,                0.73928,                0.72285,                0.53636,                0.71099,                0.74418,                0.73027,                0.47415,                0.81864,                 1.5426,                0.74771,                 1.0336,             0.00085604,             0.00085604,             0.00085604
                     83,                0.66912,                 1.2009,                0.48978,                0.91633,                0.74875,                0.73837,                0.71999,                0.52503,                0.75785,                0.74762,                0.73352,                 0.4711,                 0.8623,                 1.6271,                0.78209,                  1.072,             0.00084897,             0.00084897,             0.00084897
                     84,                0.68264,                 1.2301,                0.49804,                0.91462,                0.74454,                0.72164,                0.74002,                0.54499,                0.75692,                0.73344,                0.75643,                0.49071,                0.85049,                 1.5751,                0.72415,                 1.0839,              0.0008419,              0.0008419,              0.0008419
                     85,                0.66961,                 1.1986,                0.48848,                0.92246,                0.74165,                0.73047,                0.71195,                0.51656,                0.74393,                0.73167,                0.71744,                0.46839,                0.85092,                 1.5746,                0.74749,                  1.084,             0.00083482,             0.00083482,             0.00083482
                     86,                0.66975,                 1.2186,                0.49221,                0.91933,                0.75441,                0.73202,                0.72689,                0.52258,                0.76473,                0.72865,                0.72925,                0.46948,                0.81579,                  1.524,                0.70362,                 1.0131,             0.00082775,             0.00082775,             0.00082775
                     87,                0.66338,                  1.175,                0.47586,                0.91347,                0.75339,                0.68981,                0.70604,                 0.5194,                 0.7717,                0.70578,                0.72134,                0.46081,                0.84226,                 1.6055,                0.73574,                 1.0347,             0.00082067,             0.00082067,             0.00082067
                     88,                0.65555,                 1.1935,                0.48007,                0.91374,                0.75494,                0.69494,                0.72706,                0.53301,                0.76336,                0.70163,                 0.7368,                  0.483,                0.83359,                 1.5396,                0.72997,                 1.0374,              0.0008136,              0.0008136,              0.0008136
                     89,                0.66873,                  1.196,                0.48372,                0.91475,                 0.7366,                0.72494,                0.74804,                0.55233,                0.75966,                0.73861,                0.77056,                  0.489,                0.84041,                  1.561,                0.75355,                 1.0487,             0.00080653,             0.00080653,             0.00080653
                     90,                0.68047,                 1.2259,                0.48718,                0.91935,                0.73773,                0.73978,                  0.725,                0.53621,                 0.7472,                0.74525,                0.73476,                0.47415,                 0.8169,                 1.5259,                 0.7431,                 1.0429,             0.00079945,             0.00079945,             0.00079945
                     91,                0.67749,                 1.2212,                0.47671,                0.91459,                0.74103,                0.72638,                0.72719,                 0.5319,                0.74788,                0.73233,                0.73903,                0.48328,                0.83059,                 1.5472,                0.74785,                 1.0367,             0.00079238,             0.00079238,             0.00079238
                     92,                0.65595,                 1.2001,                0.47489,                0.91397,                0.72714,                0.75915,                0.74704,                0.55347,                 0.7348,                0.76678,                  0.759,                0.49541,                0.84767,                 1.5469,                0.72037,                 1.0654,             0.00078531,             0.00078531,             0.00078531
                     93,                0.66067,                 1.1925,                0.46944,                0.90873,                0.78441,                0.70043,                0.76127,                0.55767,                0.79778,                0.70616,                0.76548,                0.49641,                0.84585,                 1.5408,                0.76097,                 1.0431,             0.00077823,             0.00077823,             0.00077823
