                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.0337,                 2.0156,                0.83037,                 1.1718,                 0.6163,                0.63547,                 0.6676,                0.47905,                0.62986,                0.64355,                 0.6791,                0.41675,                0.89878,                 1.6845,                0.89913,                 1.1057,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.0181,                 2.0438,                0.82772,                 1.1719,                 0.6211,                0.66817,                0.63343,                0.46457,                0.62909,                0.67594,                0.64414,                0.40278,                0.91018,                 1.6586,                 0.9147,                 1.1375,             0.00082067,             0.00082067,             0.00082067
                     89,                0.98788,                 1.9616,                0.78808,                 1.1408,                0.61457,                0.50946,                0.58003,                0.41695,                0.62592,                0.51719,                 0.5846,                0.36351,                0.89149,                 1.6784,                0.90929,                 1.1382,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.0296,                 2.0076,                0.81472,                 1.1475,                0.67322,                 0.4954,                0.56715,                 0.3975,                0.68488,                0.50483,                0.57667,                0.36246,                 0.9028,                 1.6899,                0.92424,                 1.1191,             0.00080653,             0.00080653,             0.00080653
                     91,                  1.024,                 2.0568,                0.83274,                 1.1589,                0.59583,                0.63752,                0.65893,                0.46617,                0.60438,                0.64606,                0.66702,                0.41204,                0.87098,                 1.6583,                0.87538,                 1.0991,             0.00079945,             0.00079945,             0.00079945
                     92,                0.97298,                 1.9538,                0.80731,                 1.1376,                0.55327,                0.59308,                 0.6194,                 0.4434,                0.56041,                0.60013,                0.60101,                0.40116,                0.89142,                 1.6431,                 0.8499,                 1.1175,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.0038,                 1.9969,                0.80556,                 1.1279,                0.67946,                0.51739,                0.59242,                0.42057,                0.68862,                0.52593,                0.59447,                0.37101,                 0.8832,                  1.661,                0.89351,                 1.1097,             0.00078531,             0.00078531,             0.00078531
                     94,                 0.9905,                 1.9591,                0.79486,                 1.1425,                0.57557,                0.55517,                0.58473,                0.41693,                0.57712,                0.56051,                0.58066,                0.37113,                 0.8951,                 1.7211,                0.90334,                 1.1144,             0.00077823,             0.00077823,             0.00077823
                     95,                0.99043,                 2.0248,                0.79977,                 1.1462,                0.44872,                0.52652,                0.40332,                0.28376,                0.42523,                0.49518,                0.38708,                 0.2456,                0.92387,                 1.7534,                 1.5201,                  1.145,             0.00077116,             0.00077116,             0.00077116
                     96,                0.93919,                 1.9297,                 0.7837,                 1.1077,                0.53315,                0.59936,                0.52029,                0.36985,                0.51492,                0.58013,                0.50455,                0.32699,                0.94489,                 1.7469,                0.95356,                 1.1521,             0.00076409,             0.00076409,             0.00076409
                     97,                0.96677,                 1.9258,                0.80282,                 1.1367,                0.51959,                0.59464,                0.54879,                0.42263,                0.54978,                0.52934,                0.54469,                0.36528,                0.88325,                 1.7452,                0.87736,                  1.123,             0.00075701,             0.00075701,             0.00075701
                     98,                0.96453,                 1.9452,                0.78391,                 1.1296,                 0.5323,                0.64423,                0.55809,                0.41828,                0.54028,                0.65278,                 0.5676,                0.36026,                0.88721,                 1.6874,                0.85451,                  1.118,             0.00074994,             0.00074994,             0.00074994
                     99,                0.96442,                 1.9376,                0.75245,                 1.1148,                0.59171,                0.57207,                0.60025,                 0.4653,                 0.6026,                0.58001,                0.60299,                0.40159,                0.87964,                 1.6977,                0.86407,                 1.1074,             0.00074287,             0.00074287,             0.00074287
                    100,                0.92572,                 1.8691,                0.74319,                 1.1221,                 0.5034,                0.65057,                0.56328,                0.43188,                0.51046,                 0.6487,                0.57399,                 0.3623,                0.92449,                 1.6773,                0.88277,                 1.1417,             0.00073579,             0.00073579,             0.00073579
                    101,                0.93874,                 1.9031,                0.76221,                 1.0999,                0.59305,                0.62654,                0.59514,                 0.4587,                0.60399,                0.63702,                0.61377,                0.37522,                0.88145,                 1.6801,                0.89598,                 1.1167,             0.00072872,             0.00072872,             0.00072872
                    102,                0.96402,                 1.9722,                 0.7639,                 1.0955,                0.62675,                0.59363,                 0.6123,                 0.4503,                0.63773,                0.53048,                0.59079,                 0.3847,                0.86248,                 1.7031,                0.87743,                 1.1196,             0.00072164,             0.00072164,             0.00072164
